id,name,category,subcategory,dimension,size_m,tier,note
red-panda,Red panda,animals,mammal,head-body length,0.55,2,
pipistrelle-bat,Common pipistrelle,animals,mammal,wingspan,0.22,3,
flying-fox,Large flying fox,animals,mammal,wingspan,1.5,3,
ostrich,Ostrich,animals,bird,standing height,2.5,1,
emu,Emu,animals,bird,standing height,1.7,2,
cassowary,Southern cassowary,animals,bird,standing height,1.6,3,
emperor-penguin,Emperor penguin,animals,bird,standing height,1.15,1,
little-penguin,Little penguin,animals,bird,standing height,0.33,3,
bald-eagle,Bald eagle,animals,bird,wingspan,2.1,1,
golden-eagle,Golden eagle,animals,bird,wingspan,2.2,2,
wandering-albatross,Wandering albatross,animals,bird,wingspan,3.1,2,
andean-condor,Andean condor,animals,bird,wingspan,3.2,3,
california-condor,California condor,animals,bird,wingspan,2.9,3,
peregrine-falcon,Peregrine falcon,animals,bird,wingspan,1.0,2,
red-tailed-hawk,Red-tailed hawk,animals,bird,wingspan,1.2,3,
barn-owl,Barn owl,animals,bird,wingspan,0.9,2,
great-horned-owl,Great horned owl,animals,bird,wingspan,1.3,3,
snowy-owl,Snowy owl,animals,bird,wingspan,1.4,2,
raven,Common raven,animals,bird,wingspan,1.2,2,
carrion-crow,Carrion crow,animals,bird,wingspan,0.95,2,
magpie,Eurasian magpie,animals,bird,wingspan,0.55,2,
pigeon,Rock pigeon,animals,bird,wingspan,0.65,1,
house-sparrow,House sparrow,animals,bird,wingspan,0.22,1,
robin,European robin,animals,bird,length,0.13,2,
ruby-throated-hummingbird,Ruby-throated hummingbird,animals,bird,length,0.085,2,
bee-hummingbird,Bee hummingbird,animals,bird,length,0.055,3,smallest bird
blue-tit,Blue tit,animals,bird,length,0.12,3,
barn-swallow,Barn swallow,animals,bird,wingspan,0.32,2,
herring-gull,Herring gull,animals,bird,wingspan,1.4,1,
great-white-pelican,Great white pelican,animals,bird,wingspan,2.8,2,
flamingo,Greater flamingo,animals,bird,standing height,1.3,1,
mute-swan,Mute swan,animals,bird,wingspan,2.2,1,
canada-goose,Canada goose,animals,bird,wingspan,1.6,2,
mallard,Mallard,animals,bird,length,0.58,1,
chicken,Chicken,animals,bird,standing height,0.45,1,
wild-turkey,Wild turkey,animals,bird,length,1.1,2,
peacock,Indian peafowl,animals,bird,length incl. train,2.0,1,
scarlet-macaw,Scarlet macaw,animals,bird,length,0.85,1,
budgerigar,Budgerigar,animals,bird,length,0.18,2,
cockatoo,Sulphur-crested cockatoo,animals,bird,length,0.5,3,
toco-toucan,Toco toucan,animals,bird,length,0.6,2,
kiwi,Brown kiwi,animals,bird,length,0.45,2,
white-stork,White stork,animals,bird,standing height,1.1,2,
grey-heron,Grey heron,animals,bird,standing height,1.0,2,
common-crane,Common crane,animals,bird,standing height,1.2,3,
griffon-vulture,Griffon vulture,animals,bird,wingspan,2.6,2,
kingfisher,Common kingfisher,animals,bird,length,0.17,2,
woodpecker,Great spotted woodpecker,animals,bird,length,0.24,2,
puffin,Atlantic puffin,animals,bird,length,0.3,2,
dodo,Dodo,animals,bird,standing height,1.0,1,extinct
secretary-bird,Secretary bird,animals,bird,standing height,1.3,4,
shoebill,Shoebill,animals,bird,standing height,1.3,3,
saltwater-crocodile,Saltwater crocodile,animals,reptile,length,5.0,1,
nile-crocodile,Nile crocodile,animals,reptile,length,4.2,2,
american-alligator,American alligator,animals,reptile,length,3.4,1,
komodo-dragon,Komodo dragon,animals,reptile,length,2.6,1,
green-iguana,Green iguana,animals,reptile,total length,1.5,2,
veiled-chameleon,Veiled chameleon,animals,reptile,total length,0.45,2,
leopard-gecko,Leopard gecko,animals,reptile,total length,0.2,2,
gila-monster,Gila monster,animals,reptile,total length,0.5,4,
green-anaconda,Green anaconda,animals,reptile,length,5.0,1,
reticulated-python,Reticulated python,animals,reptile,length,6.0,2,
burmese-python,Burmese python,animals,reptile,length,4.0,3,
king-cobra,King cobra,animals,reptile,length,3.5,1,
black-mamba,Black mamba,animals,reptile,length,2.5,2,
rattlesnake,Western diamondback rattlesnake,animals,reptile,length,1.2,2,
corn-snake,Corn snake,animals,reptile,length,1.2,3,
grass-snake,Grass snake,animals,reptile,length,1.0,3,
galapagos-tortoise,Galápagos tortoise,animals,reptile,shell length,1.3,1,
leatherback-turtle,Leatherback sea turtle,animals,reptile,shell length,1.8,2,
green-sea-turtle,Green sea turtle,animals,reptile,shell length,1.1,1,
red-eared-slider,Red-eared slider,animals,reptile,shell length,0.25,3,
common-frog,Common frog,animals,amphibian,length,0.08,1,
goliath-frog,Goliath frog,animals,amphibian,length,0.32,3,
poison-dart-frog,Strawberry poison-dart frog,animals,amphibian,length,0.02,2,
axolotl,Axolotl,animals,amphibian,length,0.25,2,
fire-salamander,Fire salamander,animals,amphibian,length,0.2,3,
cane-toad,Cane toad,animals,amphibian,length,0.15,3,
great-white-shark,Great white shark,animals,fish,length,4.5,1,
whale-shark,Whale shark,animals,fish,length,10,1,
great-hammerhead,Great hammerhead shark,animals,fish,length,4.0,2,
tiger-shark,Tiger shark,animals,fish,length,3.5,2,
basking-shark,Basking shark,animals,fish,length,8,3,
megalodon,Megalodon,animals,fish,length,16,1,extinct estimate
giant-squid,Giant squid,animals,invertebrate,total length,12,1,
colossal-squid,Colossal squid,animals,invertebrate,total length,10,3,
common-octopus,Common octopus,animals,invertebrate,arm span,1.0,1,
giant-pacific-octopus,Giant Pacific octopus,animals,invertebrate,arm span,4.5,3,
moon-jellyfish,Moon jellyfish,animals,invertebrate,bell diameter,0.3,2,
lions-mane-jellyfish,Lion's mane jellyfish,animals,invertebrate,bell diameter,1.0,3,
manta-ray,Giant oceanic manta ray,animals,fish,wingspan,5.5,1,
southern-stingray,Southern stingray,animals,fish,disc width,1.5,2,
swordfish,Swordfish,animals,fish,length,3.0,2,
blue-marlin,Atlantic blue marlin,animals,fish,length,3.5,3,
bluefin-tuna,Atlantic bluefin tuna,animals,fish,length,2.0,2,
atlantic-salmon,Atlantic salmon,animals,fish,length,0.75,1,
goldfish,Goldfish,animals,fish,length,0.15,1,
clownfish,Clownfish,animals,fish,length,0.1,1,
piranha,Red-bellied piranha,animals,fish,length,0.3,2,
sardine,European sardine,animals,fish,length,0.2,2,
atlantic-cod,Atlantic cod,animals,fish,length,1.0,2,
common-carp,Common carp,animals,fish,length,0.6,2,
northern-pike,Northern pike,animals,fish,length,0.8,2,
wels-catfish,Wels catfish,animals,fish,length,1.8,3,
ocean-sunfish,Ocean sunfish,animals,fish,length,1.8,2,
seahorse,Lined seahorse,animals,fish,height,0.15,1,
european-eel,European eel,animals,fish,length,0.7,2,
electric-eel,Electric eel,animals,fish,length,2.0,2,
arapaima,Arapaima,animals,fish,length,2.5,4,
coelacanth,Coelacanth,animals,fish,length,1.8,3,
anglerfish,Humpback anglerfish,animals,fish,length,0.2,2,female
american-lobster,American lobster,animals,invertebrate,body length,0.4,1,
japanese-spider-crab,Japanese spider crab,animals,invertebrate,leg span,3.5,2,
blue-crab,Blue crab,animals,invertebrate,carapace width,0.2,3,
common-starfish,Common starfish,animals,invertebrate,diameter,0.2,1,
honey-bee,Western honey bee,animals,insect,length,0.013,1,
bumblebee,Bumblebee,animals,insect,length,0.02,1,
monarch-butterfly,Monarch butterfly,animals,insect,wingspan,0.1,1,
atlas-moth,Atlas moth,animals,insect,wingspan,0.25,3,
housefly,Housefly,animals,insect,length,0.007,1,
mosquito,Mosquito,animals,insect,length,0.005,1,
black-garden-ant,Black garden ant,animals,insect,length,0.004,1,
bullet-ant,Bullet ant,animals,insect,length,0.025,3,
ladybug,Seven-spot ladybird,animals,insect,length,0.007,1,
emperor-dragonfly,Emperor dragonfly,animals,insect,length,0.08,1,
praying-mantis,European mantis,animals,insect,length,0.07,2,
giant-stick-insect,Giant stick insect,animals,insect,length,0.3,3,
goliath-beetle,Goliath beetle,animals,insect,length,0.1,3,
hercules-beetle,Hercules beetle,animals,insect,length,0.15,3,
stag-beetle,European stag beetle,animals,insect,length,0.07,2,
cockroach,American cockroach,animals,insect,length,0.04,1,
grasshopper,Grasshopper,animals,insect,length,0.05,1,
cricket,House cricket,animals,insect,length,0.025,2,
wasp,Common wasp,animals,insect,length,0.02,1,
firefly,Firefly,animals,insect,length,0.015,2,
cicada,Cicada,animals,insect,length,0.05,2,
tick,Tick,animals,arachnid,length,0.004,2,
flea,Cat flea,animals,insect,length,0.002,2,
goliath-birdeater,Goliath birdeater tarantula,animals,arachnid,leg span,0.28,2,
black-widow,Black widow spider,animals,arachnid,body length,0.013,2,
emperor-scorpion,Emperor scorpion,animals,arachnid,length,0.2,2,
giant-centipede,Amazonian giant centipede,animals,invertebrate,length,0.3,3,
earthworm,Common earthworm,animals,invertebrate,length,0.25,1,
garden-snail,Garden snail,animals,invertebrate,shell diameter,0.03,1,
giant-african-snail,Giant African snail,animals,invertebrate,shell length,0.2,3,
tardigrade,Tardigrade,animals,invertebrate,length,0.0005,2,extreme anchor
tyrannosaurus,Tyrannosaurus rex,animals,dinosaur,length,12,1,anchor; rest from Wikidata
brachiosaurus,Brachiosaurus,animals,dinosaur,length,22,1,
diplodocus,Diplodocus,animals,dinosaur,length,25,2,
argentinosaurus,Argentinosaurus,animals,dinosaur,length,33,3,estimate
triceratops,Triceratops,animals,dinosaur,length,8,1,Wikidata value 3 m is height
stegosaurus,Stegosaurus,animals,dinosaur,length,7,1,Wikidata value 3 m is height
velociraptor,Velociraptor,animals,dinosaur,length,2.0,1,Wikidata value 0.5 m is height
spinosaurus,Spinosaurus,animals,dinosaur,length,14,2,
ankylosaurus,Ankylosaurus,animals,dinosaur,length,7,2,
pteranodon,Pteranodon,animals,dinosaur,wingspan,6,2,pterosaur
quetzalcoatlus,Quetzalcoatlus,animals,dinosaur,wingspan,11,3,pterosaur
woolly-mammoth,Woolly mammoth,animals,mammal,shoulder height,3.2,1,extinct
sabre-toothed-cat,Smilodon,animals,mammal,shoulder height,1.0,2,extinct
newborn-baby,Newborn baby,objects,human scale,length,0.5,1,anchor
toddler,Toddler (2 yrs),objects,human scale,height,0.85,1,anchor
adult-woman,Adult woman (avg),objects,human scale,height,1.62,1,anchor
adult-man,Adult man (avg),objects,human scale,height,1.75,1,anchor
basketball-player,Basketball centre,objects,human scale,height,2.1,2,anchor
human-hand,Adult hand,objects,human scale,length,0.19,1,
human-foot,Adult foot,objects,human scale,length,0.27,1,
human-eye,Human eyeball,objects,human scale,diameter,0.024,2,
human-tooth,Human molar,objects,human scale,height,0.02,3,
human-hair,Human hair,objects,human scale,width,0.00007,2,extreme
red-blood-cell,Red blood cell,objects,human scale,diameter,0.000008,2,extreme
door,Interior door,objects,home,height,2.03,1,anchor
credit-card,Credit card,objects,everyday,width,0.0856,1,anchor
smartphone,Smartphone,objects,everyday,height,0.147,1,anchor
a4-paper,A4 sheet of paper,objects,everyday,height,0.297,1,anchor
pencil,Pencil,objects,everyday,length,0.19,1,
pen,Ballpoint pen,objects,everyday,length,0.14,1,
paperclip,Paperclip,objects,everyday,length,0.033,1,
euro-coin,1 euro coin,objects,everyday,diameter,0.02325,1,
us-quarter,US quarter,objects,everyday,diameter,0.0243,2,
coke-can,Soda can (330 ml),objects,food & drink,height,0.115,1,anchor
wine-bottle,Wine bottle,objects,food & drink,height,0.3,1,
pet-bottle,1.5 L water bottle,objects,food & drink,height,0.33,1,
beer-bottle,Beer bottle (0.5 l),objects,food & drink,height,0.27,1,
banana,Banana,objects,food & drink,length,0.18,1,anchor
apple,Apple,objects,food & drink,diameter,0.08,1,
watermelon,Watermelon,objects,food & drink,length,0.3,1,
chicken-egg,Chicken egg,objects,food & drink,height,0.055,1,
baguette,Baguette,objects,food & drink,length,0.65,1,
pizza,Large pizza,objects,food & drink,diameter,0.4,1,
hamburger,Hamburger,objects,food & drink,diameter,0.1,1,
coffee-mug,Coffee mug,objects,home,height,0.095,1,
wine-glass,Wine glass,objects,home,height,0.22,1,
fork,Dinner fork,objects,home,length,0.2,1,
chefs-knife,Chef's knife,objects,home,length,0.33,1,
dinner-plate,Dinner plate,objects,home,diameter,0.27,1,
toothbrush,Toothbrush,objects,home,length,0.19,1,
toilet-roll,Toilet paper roll,objects,home,diameter,0.11,1,
bar-of-soap,Bar of soap,objects,home,length,0.09,2,
light-bulb,Light bulb,objects,home,height,0.11,1,
aa-battery,AA battery,objects,everyday,length,0.0505,1,
usb-stick,USB flash drive,objects,tech,length,0.05,1,
laptop,15-inch laptop,objects,tech,width,0.36,1,
computer-mouse,Computer mouse,objects,tech,length,0.12,1,
keyboard,Computer keyboard,objects,tech,width,0.44,1,
tv-55,55-inch TV,objects,tech,width,1.22,1,
remote-control,TV remote,objects,tech,length,0.18,1,
paperback-book,Paperback book,objects,everyday,height,0.198,1,
acoustic-guitar,Acoustic guitar,objects,music,length,1.03,1,
violin,Violin,objects,music,length,0.6,1,
grand-piano,Concert grand piano,objects,music,length,2.75,1,
upright-piano,Upright piano,objects,music,height,1.25,2,
football,Football (soccer ball),objects,sport,diameter,0.22,1,anchor
basketball,Basketball,objects,sport,diameter,0.24,1,
tennis-ball,Tennis ball,objects,sport,diameter,0.067,1,
golf-ball,Golf ball,objects,sport,diameter,0.0427,1,
baseball,Baseball,objects,sport,diameter,0.074,1,
bowling-ball,Bowling ball,objects,sport,diameter,0.218,1,
ping-pong-ball,Table tennis ball,objects,sport,diameter,0.04,1,
baseball-bat,Baseball bat,objects,sport,length,0.86,1,
tennis-racket,Tennis racket,objects,sport,length,0.69,1,
hockey-stick,Ice hockey stick,objects,sport,length,1.5,2,
skateboard,Skateboard,objects,sport,length,0.8,1,
bicycle,Bicycle,objects,vehicles,length,1.75,1,anchor
surfboard,Surfboard,objects,sport,length,2.1,2,
skis,Alpine skis,objects,sport,length,1.7,2,
basketball-hoop,Basketball hoop,objects,sport,rim height,3.05,1,
football-goal,Football goal,objects,sport,height,2.44,1,
tennis-net,Tennis net,objects,sport,height at centre,0.914,3,
bowling-pin,Bowling pin,objects,sport,height,0.38,2,
chess-king,Chess king,objects,games,height,0.095,2,
rubiks-cube,Rubik's Cube,objects,games,edge,0.057,1,
lego-brick,LEGO 2x4 brick,objects,games,length,0.032,1,
playing-card,Playing card,objects,games,height,0.089,1,
die,Die (dice),objects,games,edge,0.016,1,
chair,Dining chair,objects,home,height,0.9,1,
dining-table,Dining table,objects,home,length,1.6,1,
double-bed,Double bed,objects,home,length,2.0,1,
sofa,Three-seat sofa,objects,home,length,2.2,1,
refrigerator,Refrigerator,objects,home,height,1.8,1,anchor
washing-machine,Washing machine,objects,home,height,0.85,1,
microwave,Microwave oven,objects,home,width,0.5,1,
toaster,Toaster,objects,home,width,0.28,1,
kettle,Electric kettle,objects,home,height,0.25,1,
bathtub,Bathtub,objects,home,length,1.7,1,
toilet,Toilet,objects,home,height,0.75,1,
stepladder,Stepladder,objects,home,height,1.8,2,
umbrella,Umbrella (open),objects,everyday,diameter,1.0,1,
carry-on-suitcase,Carry-on suitcase,objects,everyday,height,0.55,1,
backpack,Backpack,objects,everyday,height,0.5,1,
mens-shoe,Men's shoe (EU 43),objects,everyday,length,0.28,1,
wristwatch,Wristwatch,objects,everyday,diameter,0.04,1,
eyeglasses,Eyeglasses,objects,everyday,width,0.14,1,
house-key,House key,objects,everyday,length,0.06,1,
matchstick,Matchstick,objects,everyday,length,0.048,1,
candle,Candle,objects,home,height,0.2,2,
brick,Brick,objects,construction,length,0.215,1,
cinder-block,Cinder block,objects,construction,length,0.39,2,
shipping-container,Shipping container (40 ft),objects,construction,length,12.19,1,anchor
pallet,Euro pallet,objects,construction,length,1.2,2,
traffic-cone,Traffic cone,objects,street,height,0.7,1,
stop-sign,Stop sign,objects,street,width,0.75,1,
traffic-light,Traffic light,objects,street,height,1.0,1,
street-lamp,Street lamp,objects,street,height,9,1,
fire-hydrant,Fire hydrant,objects,street,height,0.75,1,
parking-meter,Parking meter,objects,street,height,1.3,2,
us-mailbox,US mailbox,objects,street,height,0.5,2,
phone-box,British telephone box,objects,street,height,2.5,2,
broom,Broom,objects,tools,length,1.4,1,
shovel,Shovel,objects,tools,length,1.2,1,
hammer,Claw hammer,objects,tools,length,0.33,1,
screwdriver,Screwdriver,objects,tools,length,0.2,1,
wrench,Adjustable wrench,objects,tools,length,0.25,1,
chainsaw,Chainsaw,objects,tools,length,0.8,2,
axe,Felling axe,objects,tools,length,0.9,1,
wheelbarrow,Wheelbarrow,objects,tools,length,1.5,1,
lawn-mower,Push lawn mower,objects,tools,length,1.5,2,
christmas-tree,Christmas tree,objects,nature,height,2.0,1,
sunflower,Sunflower,objects,nature,height,2.5,1,
oak-tree,Mature oak tree,objects,nature,height,25,1,
coast-redwood,Coast redwood,objects,nature,height,90,2,
giant-sequoia,Giant sequoia,objects,nature,height,80,2,
coconut-palm,Coconut palm,objects,nature,height,25,1,
bamboo,Giant bamboo,objects,nature,height,20,3,
mushroom,Button mushroom,objects,nature,height,0.1,1,
grain-of-rice,Grain of rice,objects,food & drink,length,0.007,1,
grain-of-sand,Grain of sand,objects,nature,diameter,0.0005,1,extreme
pea,Pea,objects,food & drink,diameter,0.008,1,
coffee-bean,Coffee bean,objects,food & drink,length,0.01,1,
sugar-cube,Sugar cube,objects,food & drink,edge,0.016,1,
marble,Glass marble,objects,games,diameter,0.016,1,
walnut,Walnut,objects,food & drink,diameter,0.04,1,
coconut,Coconut,objects,food & drink,diameter,0.15,1,
pumpkin,Pumpkin,objects,food & drink,diameter,0.3,1,
pineapple,Pineapple,objects,food & drink,height,0.3,1,
carrot,Carrot,objects,food & drink,length,0.18,1,
corn-cob,Corn on the cob,objects,food & drink,length,0.2,1,
strawberry,Strawberry,objects,food & drink,height,0.03,1,
grape,Grape,objects,food & drink,diameter,0.02,1,
cherry,Cherry,objects,food & drink,diameter,0.02,1,
lemon,Lemon,objects,food & drink,length,0.07,1,
orange,Orange,objects,food & drink,diameter,0.075,1,
tomato,Tomato,objects,food & drink,diameter,0.06,1,
potato,Potato,objects,food & drink,length,0.09,1,
bread-loaf,Loaf of bread,objects,food & drink,length,0.3,1,
parmesan-wheel,Parmesan wheel,objects,food & drink,diameter,0.4,3,
vw-golf,VW Golf,objects,vehicles,length,4.28,1,anchor; specific models also in Wikidata
city-bus,City bus,objects,vehicles,length,12,1,
semi-truck,Semi-truck with trailer (EU),objects,vehicles,length,16.5,1,
pickup-truck,Pickup truck (F-150),objects,vehicles,length,5.9,2,
motorcycle,Motorcycle,objects,vehicles,length,2.1,1,
shopping-cart,Shopping cart,objects,everyday,length,1.0,1,
wheelchair,Wheelchair,objects,everyday,length,1.1,2,
stroller,Baby stroller,objects,everyday,length,1.0,2,
e-scooter,E-scooter,objects,vehicles,length,1.1,2,
tram,Modern tram,objects,vehicles,length,30,2,
train-car,Passenger rail car,objects,vehicles,length,26,2,
boeing-737,Boeing 737-800,objects,vehicles,length,39.5,1,
boeing-747,Boeing 747-400,objects,vehicles,length,70.7,1,
airbus-a380,Airbus A380,objects,vehicles,length,72.7,1,
cessna-172,Cessna 172,objects,vehicles,length,8.28,2,
helicopter,Light helicopter (Bell 206),objects,vehicles,length,12,2,
hot-air-balloon,Hot air balloon,objects,vehicles,height,20,1,
space-shuttle,Space Shuttle orbiter,objects,space,length,37,1,
saturn-v,Saturn V,objects,space,height,110.6,1,
iss,International Space Station,objects,space,width,109,1,
falcon-9,Falcon 9,objects,space,height,70,2,
hubble,Hubble Space Telescope,objects,space,length,13.2,1,
